Series Name,Country Name,Country Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP per capita (current US$),Chile,CHL,1542.925527,714.1946235,953.9015123,1268.962883,1431.350138,1922.977189,2523.055456,2954.937434,1648.011712,1693.146767,1611.4186,1429.38851,1501.091407,1739.676991,2003.363504,2265.359377,2466.130142,2770.079646,3309.399239,3494.994609,3981.390189,5055.614062,5333.504387,5741.95843,5419.824173,4933.555815,5052.992458,4563.595299,4430.847412,4773.401775,6120.591521,7480.32331,9318.656553,10346.41382,10683.21888,10098.80172,12632.87047,14487.39278,15241.907,15683.54864,14529.67672,13433.9203,13649.85205,14879.90862,15659.48087,14495.71672,13114.81547,16216.57065,15451.13196,17067.81362
GDP per capita (current US$),Bangladesh,BGD,164.9863936,249.804254,126.6930442,117.8877714,158.3242552,181.1307067,206.0757143,224.2413924,199.5959446,184.7067729,193.435021,222.2201804,212.1489939,231.4995845,247.901466,263.0057208,283.0537371,272.0649485,273.4650725,280.7572745,280.6030318,309.4586808,371.9179377,379.2849177,385.6168818,388.0956843,396.6707302,394.65641,393.8864223,426.7488075,455.6140169,480.0858508,490.3880265,537.9554928,613.062041,679.2114774,757.3852804,837.3369447,859.6805364,958.2629898,1094.461997,1224.386477,1649.283809,1811.082217,1965.243727,2129.79897,2248.850788,2482.849178,2716.485927,2551.017727
GDP per capita (current US$),Nauru,NRU,5199.264975,5740.199787,5703.203171,5646.335581,5721.313689,5949.562162,6137.681296,6593.906952,6576.83364,5895.702668,5653.961,4858.933517,4568.678877,4484.508146,5011.580315,5722.767422,5775.553474,5333.379549,5102.596859,4310.244333,3920.53973,3932.091094,3678.562429,3661.028467,2908.849865,2682.694867,2648.601529,2232.30874,2084.648245,2463.282591,3040.513499,2992.403828,2910.141458,2272.152913,3756.845312,4410.567647,4735.920005,6480.904513,9817.368722,8974.518869,9193.097844,7703.431499,8724.307003,9613.412091,11408.69476,10776.82846,10695.69933,14989.66475,13287.27119,12982.76121
GDP per capita (current US$),Nicaragua,NIC,556.8661225,561.4596954,632.5737784,744.1853204,690.7412617,495.3665974,659.2971431,739.6716557,713.7778091,779.8527307,861.4286498,724.0564253,760.5905591,992.0240664,662.3081966,249.1554741,242.5083887,349.5143186,411.4733307,394.378074,849.1793314,891.7793523,910.8616459,912.7573976,949.1553735,980.2197447,1017.312443,1051.874236,1014.333904,1021.352167,1098.621187,1183.302173,1248.17676,1350.389546,1523.68089,1467.080196,1526.561853,1679.710342,1784.692128,1835.434364,1958.369665,2074.454465,2131.688285,2182.618751,2035.167501,1958.621329,1931.615158,2128.609806,2325.167379,2612.870662
GDP per capita (current US$),Norway,NOR,6811.527337,8204.451512,8927.201627,10266.12067,11462.59459,13046.53722,15772.24091,15512.5067,15224.89391,14927.51748,14989.48577,15753.55277,18883.23335,22505.86226,24207.28147,24281.13041,28242.9814,28596.933,30523.98506,27963.69791,29315.80923,34875.70433,37321.9742,36629.0309,34803.46341,36393.29275,38178.23688,38601.89764,43170.55717,50250.32982,57768.6981,67047.17046,74434.49968,85502.26771,97503.54078,80347.57007,88163.20859,101221.8135,102175.9193,103553.8401,97666.69518,74809.9658,70867.361,76131.8384,82792.84271,76430.58895,68340.0181,93072.89251,108798.4512,87925.09442
GDP per capita (current US$),Namibia,NAM,..,..,..,..,..,..,2467.807655,2266.910406,2097.093409,2214.338631,1830.469206,1466.179244,1599.397857,1969.42365,2062.579976,1966.827028,2037.475894,2116.905525,2346.86243,2154.964737,2355.904457,2483.203534,2423.398291,2459.645118,2235.245155,2177.787334,2156.675905,1915.589266,1772.075655,2569.247393,3403.154962,3685.773,4017.183472,4379.043137,4204.785554,4302.913741,5418.216334,5834.791768,5942.64681,5346.621311,5378.323262,4774.106509,4395.687762,5143.960723,5308.608134,4731.921032,3878.58983,4412.835569,4349.045322,4168.285211
GDP per capita (current US$),New Zealand,NZL,4610.570426,4171.76974,4373.840998,4950.588205,5936.98526,6668.138666,7467.168038,7813.887543,7656.475732,7598.312039,6713.760131,7600.565242,9427.55394,12330.91683,13759.15563,13312.38559,13663.02162,12230.07345,11793.13924,13094.34545,15280.31278,17400.42018,18794.43604,17474.18703,14738.44557,15322.22383,13641.10272,13882.85683,16874.18749,21913.70817,25420.23488,27751.06547,26654.5932,32479.98174,31252.96256,28209.36233,33676.77412,38388.52809,39974.29973,42977.38804,44578.22539,38639.35019,40070.89566,42913.18696,43228.69765,42747.20993,41785.69229,49624.18167,48216.50958,48280.81142
GDP per capita (current US$),United States,USA,7225.69136,7801.456664,8592.253537,9452.576519,10564.94822,11674.18187,12574.79151,13976.10539,14433.78773,15543.89372,17121.22548,18236.82773,19071.22719,20038.9411,21417.01193,22857.15443,23888.60001,24342.2589,25418.99078,26387.29373,27694.85342,28690.8757,29967.71272,31459.12997,32853.67259,34515.38131,36329.97026,37133.6204,37997.74243,39490.30239,41724.6412,44123.39965,46301.98765,48050.22741,48570.05943,47194.95009,48650.66432,50065.97895,51784.41147,53409.75078,55304.31553,57040.20821,58206.61419,60322.26142,63201.04585,65604.68152,64411.37318,71318.30736,78035.17536,82769.41221
GDP per capita (current US$),Niger,NER,198.2891653,197.232873,194.7895706,229.8084176,306.8280225,354.1697309,408.8227798,343.3868007,309.7950623,268.7725807,211.4688073,202.3727407,259.5618942,295.3262539,292.5878785,271.2665579,423.8874606,384.4431168,384.0296573,335.4295819,206.2146171,237.0199896,239.4945132,220.5629572,246.0908559,228.2716561,194.7719599,205.4179361,225.2943911,265.2253635,283.4682818,318.6431219,333.3450784,387.1680659,475.0449554,461.131534,474.4256923,510.7595618,528.5101045,552.1033344,565.3098973,485.6625742,502.7064754,521.80413,578.5680357,561.6913043,579.5124958,608.7224396,609.7451476,642.9379179
GDP per capita (current US$),"Korea, Rep.",KOR,563.3524758,617.4560619,834.134208,1055.880041,1405.822374,1783.622313,1715.4224,1883.45598,1992.516778,2198.939291,2413.276501,2482.399956,2834.89034,3554.606009,4748.640644,5817.065567,6609.997283,7636.948064,8126.662062,8884.919464,10385.39046,12564.72437,13402.9946,12398.49045,8281.719483,10672.44756,12257.02066,11561.20717,13165.08362,14672.80575,16496.13162,19402.50263,21743.47745,24086.41044,21350.42798,19143.85161,23079.26013,25097.59543,25459.1689,27179.51701,29252.93124,28737.43917,29280.44032,31600.73587,33447.15628,31902.4169,31721.29891,35125.5225,32394.68337,33121.37129
GDP per capita (current US$),"Venezuela, RB",VEN,2033.519008,2078.15342,2309.192935,2585.220511,2727.137466,3256.649087,3874.404706,4228.098815,4201.542835,4078.942331,3519.801465,3548.704343,3376.349606,2610.988371,3191.476337,2250.084597,2451.552311,2632.539698,2907.303344,2824.691444,2688.983251,3486.983506,3112.825848,3710.826884,3869.982588,4070.906192,4776.281676,4920.393136,3652.098965,3229.505571,4269.089709,5432.485418,6739.380653,8331.62097,11262.45143,11596.60219,13646.30466,10843.92297,12901.41716,12403.1467,15943.61272,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),"Iran, Islamic Rep.",IRN,1408.965719,1531.706171,1953.519697,2243.055595,2100.770153,2352.426552,2368.392857,2393.449856,2844.876114,3397.0614,3395.336976,3634.032096,4064.346673,2513.151116,2234.462351,2124.972148,2137.942227,2194.439068,1957.485078,1038.109857,1167.762725,1550.009596,1914.781213,1790.066176,1709.193341,1739.59462,1650.013858,1881.022666,1891.257561,2208.996366,2672.422665,3132.050819,3618.916014,4687.991663,5377.411507,5415.522806,6291.194437,8025.687434,8114.080998,6222.741948,5672.063729,4952.733555,5477.037124,5753.115447,4631.78709,3831.278948,2988.781224,4334.792686,4405.092915,4465.63767
