Entity,Code,Year,fertility_rate_hist
Bangladesh,BGD,1953,6.421
Bangladesh,BGD,1954,6.472
Bangladesh,BGD,1955,6.505
Bangladesh,BGD,1956,6.537
Bangladesh,BGD,1957,6.576
Bangladesh,BGD,1958,6.608
Bangladesh,BGD,1959,6.678
Bangladesh,BGD,1960,6.742
Bangladesh,BGD,1961,6.78
Bangladesh,BGD,1962,6.806
Bangladesh,BGD,1963,6.798
Bangladesh,BGD,1964,6.785
Bangladesh,BGD,1965,6.771
Bangladesh,BGD,1966,6.766
Bangladesh,BGD,1967,6.79
Bangladesh,BGD,1968,6.791
Bangladesh,BGD,1969,6.806
Bangladesh,BGD,1970,6.839
Bangladesh,BGD,1971,6.831
Bangladesh,BGD,1972,6.816
Bangladesh,BGD,1973,6.8
Bangladesh,BGD,1974,6.778
Bangladesh,BGD,1975,6.728
Bangladesh,BGD,1976,6.66
Bangladesh,BGD,1977,6.583
Bangladesh,BGD,1978,6.509
Bangladesh,BGD,1979,6.421
Bangladesh,BGD,1980,6.326
Bangladesh,BGD,1981,6.237
Bangladesh,BGD,1982,6.118
Bangladesh,BGD,1983,5.906
Bangladesh,BGD,1984,5.732
Bangladesh,BGD,1985,5.539
Bangladesh,BGD,1986,5.302
Bangladesh,BGD,1987,5.075
Bangladesh,BGD,1988,4.849
Bangladesh,BGD,1989,4.695
Bangladesh,BGD,1990,4.506
Bangladesh,BGD,1991,4.261
Bangladesh,BGD,1992,4.027
Bangladesh,BGD,1993,3.832
Bangladesh,BGD,1994,3.737
Bangladesh,BGD,1995,3.588
Bangladesh,BGD,1996,3.505
Bangladesh,BGD,1997,3.502
Bangladesh,BGD,1998,3.427
Bangladesh,BGD,1999,3.357
Bangladesh,BGD,2000,3.279
Bangladesh,BGD,2001,3.203
Bangladesh,BGD,2002,3.126
Bangladesh,BGD,2003,3.029
Bangladesh,BGD,2004,2.94
Bangladesh,BGD,2005,2.846
Bangladesh,BGD,2006,2.755
Bangladesh,BGD,2007,2.666
Bangladesh,BGD,2008,2.577
Bangladesh,BGD,2009,2.484
Bangladesh,BGD,2010,2.38
Bangladesh,BGD,2011,2.309
Bangladesh,BGD,2012,2.263
Bangladesh,BGD,2013,2.247
Bangladesh,BGD,2014,2.228
Bangladesh,BGD,2015,2.227
Bangladesh,BGD,2016,2.227
Bangladesh,BGD,2017,2.205
Bangladesh,BGD,2018,2.193
Bangladesh,BGD,2019,2.18
Bangladesh,BGD,2020,2.175
Bangladesh,BGD,2021,2.173
Bangladesh,BGD,2022,2.179
Bangladesh,BGD,2023,2.163
Chile,CHL,1953,4.786
Chile,CHL,1954,4.77
Chile,CHL,1955,4.777
Chile,CHL,1956,4.795
Chile,CHL,1957,4.774
Chile,CHL,1958,4.753
Chile,CHL,1959,4.728
Chile,CHL,1960,4.697
Chile,CHL,1961,4.655
Chile,CHL,1962,4.602
Chile,CHL,1963,4.536
Chile,CHL,1964,4.457
Chile,CHL,1965,4.364
Chile,CHL,1966,4.259
Chile,CHL,1967,4.144
Chile,CHL,1968,4.025
Chile,CHL,1969,3.902
Chile,CHL,1970,3.778
Chile,CHL,1971,3.654
Chile,CHL,1972,3.53
Chile,CHL,1973,3.409
Chile,CHL,1974,3.293
Chile,CHL,1975,3.182
Chile,CHL,1976,3.078
Chile,CHL,1977,2.981
Chile,CHL,1978,2.892
Chile,CHL,1979,2.812
Chile,CHL,1980,2.744
Chile,CHL,1981,2.689
Chile,CHL,1982,2.648
Chile,CHL,1983,2.619
Chile,CHL,1984,2.601
Chile,CHL,1985,2.592
Chile,CHL,1986,2.589
Chile,CHL,1987,2.59
Chile,CHL,1988,2.591
Chile,CHL,1989,2.589
Chile,CHL,1990,2.579
Chile,CHL,1991,2.558
Chile,CHL,1992,2.478
Chile,CHL,1993,2.43
Chile,CHL,1994,2.377
Chile,CHL,1995,2.353
Chile,CHL,1996,2.284
Chile,CHL,1997,2.202
Chile,CHL,1998,2.149
Chile,CHL,1999,2.074
Chile,CHL,2000,2.046
Chile,CHL,2001,2.007
Chile,CHL,2002,1.934
Chile,CHL,2003,1.885
Chile,CHL,2004,1.844
Chile,CHL,2005,1.825
Chile,CHL,2006,1.798
Chile,CHL,2007,1.826
Chile,CHL,2008,1.85
Chile,CHL,2009,1.855
Chile,CHL,2010,1.844
Chile,CHL,2011,1.823
Chile,CHL,2012,1.798
Chile,CHL,2013,1.786
Chile,CHL,2014,1.774
Chile,CHL,2015,1.737
Chile,CHL,2016,1.686
Chile,CHL,2017,1.563
Chile,CHL,2018,1.543
Chile,CHL,2019,1.43
Chile,CHL,2020,1.307
Chile,CHL,2021,1.176
Chile,CHL,2022,1.255
Chile,CHL,2023,1.167
Ethiopia,ETH,1953,6.449
Ethiopia,ETH,1954,6.459
Ethiopia,ETH,1955,6.457
Ethiopia,ETH,1956,6.458
Ethiopia,ETH,1957,6.464
Ethiopia,ETH,1958,6.473
