metric,measure,year,location,cause,val,upper,lower,,,,,,
Rate,Deaths,1980,Bolivarian Republic of Venezuela,Police conflict and executions,0.4742649231306332,0.9108069849431754,0.24828514377489766,,,,,,
Rate,Deaths,1980,Bolivarian Republic of Venezuela,Conflict and terrorism,0.08206372,0.090243413,0.074628748,,,,,,
Rate,Deaths,1980,Bolivarian Republic of Venezuela,Interpersonal violence,12.634590548101205,13.350167522660074,11.90618705038637,,,,,,
Rate,Deaths,1981,Bolivarian Republic of Venezuela,Interpersonal violence,11.756381070838744,12.431558895593065,11.121318533380947,,,,,,
Rate,Deaths,1981,Bolivarian Republic of Venezuela,Police conflict and executions,0.4615935536340953,0.8707331902885286,0.23567042788774045,,,,,,
Rate,Deaths,1983,Bolivarian Republic of Venezuela,Police conflict and executions,0.4470169172347409,0.8472489700901759,0.22765046360712898,,,,,,
Rate,Deaths,1983,Bolivarian Republic of Venezuela,Conflict and terrorism,0.081922685,0.09008832,0.07450049,,,,,,
Rate,Deaths,1981,Bolivarian Republic of Venezuela,Conflict and terrorism,0.039892116261133724,0.043868358783936016,0.036277891,,,,,,
Rate,Deaths,1983,Bolivarian Republic of Venezuela,Interpersonal violence,12.990272876316222,13.589221691521924,12.37662803495327,,,,,,
Rate,Deaths,1982,Bolivarian Republic of Venezuela,Interpersonal violence,12.442571286239144,13.136304885704766,11.810259955806435,,,,,,
Rate,Deaths,1984,Bolivarian Republic of Venezuela,Interpersonal violence,11.492008388324658,12.013737059271355,10.938945880257629,,,,,,
Rate,Deaths,1986,Bolivarian Republic of Venezuela,Interpersonal violence,9.793717650815179,10.31307039722205,9.306670994279797,,,,,,
Rate,Deaths,1982,Bolivarian Republic of Venezuela,Police conflict and executions,0.4566027331037951,0.8506747535557436,0.2331813090603637,,,,,,
Rate,Deaths,1985,Bolivarian Republic of Venezuela,Interpersonal violence,10.605920263329269,11.086757442751125,10.091549333209917,,,,,,
Rate,Deaths,1982,Bolivarian Republic of Venezuela,Conflict and terrorism,0.2652694764620076,0.29171018382897634,0.2412360643082429,,,,,,
Rate,Deaths,1985,Bolivarian Republic of Venezuela,Police conflict and executions,0.3942673800114699,0.7515590904089642,0.19780891922074315,,,,,,
Rate,Deaths,1985,Bolivarian Republic of Venezuela,Conflict and terrorism,0,0,0,,,,,,
Rate,Deaths,1988,Bolivarian Republic of Venezuela,Interpersonal violence,11.55649417120507,12.110949342310677,11.003722795264228,,,,,,
Rate,Deaths,1987,Bolivarian Republic of Venezuela,Interpersonal violence,10.528639633128742,11.038910204692076,10.021948748483947,,,,,,
Rate,Deaths,1990,Bolivarian Republic of Venezuela,Interpersonal violence,15.53471678044624,16.19587879860902,14.81321662557397,,,,,,
Rate,Deaths,1992,Bolivarian Republic of Venezuela,Interpersonal violence,18.550726012291598,19.22138373964863,17.786876289512346,,,,,,
Rate,Deaths,1991,Bolivarian Republic of Venezuela,Interpersonal violence,16.863302885805265,17.546751011208922,16.145435058232994,,,,,,
Rate,Deaths,1986,Bolivarian Republic of Venezuela,Police conflict and executions,0.3953343467428597,0.7706883699432009,0.20215701677541614,,,,,,
Rate,Deaths,1986,Bolivarian Republic of Venezuela,Conflict and terrorism,0.21072143116935024,0.23172506781766866,0.19163007142276642,,,,,,
Rate,Deaths,1994,Bolivarian Republic of Venezuela,Interpersonal violence,20.93228152688851,21.592941542418032,20.226364508436586,,,,,,
Rate,Deaths,1984,Bolivarian Republic of Venezuela,Police conflict and executions,0.4101990100624303,0.7892004324979088,0.20511077252289972,,,,,,
