Entity,Code,Year,Observation value - Indicator: Infant mortality rate - Sex: Total - Wealth quintile: Total - Unit of measure: Deaths per 100 live births
Bangladesh,BGD,1950,23.342693
Bangladesh,BGD,1951,22.635775
Bangladesh,BGD,1952,21.964943
Bangladesh,BGD,1953,21.306301
Bangladesh,BGD,1954,20.684288
Bangladesh,BGD,1955,20.06906
Bangladesh,BGD,1956,19.500477
Bangladesh,BGD,1957,18.959303
Bangladesh,BGD,1958,18.4495
Bangladesh,BGD,1959,17.967253
Bangladesh,BGD,1960,17.511889
Bangladesh,BGD,1961,17.081934
Bangladesh,BGD,1962,16.684986
Bangladesh,BGD,1963,16.334036
Bangladesh,BGD,1964,16.029129
Bangladesh,BGD,1965,15.768732
Bangladesh,BGD,1966,15.561986
Bangladesh,BGD,1967,15.400693
Bangladesh,BGD,1968,15.29793
Bangladesh,BGD,1969,15.23427
Bangladesh,BGD,1970,16.870953
Bangladesh,BGD,1971,20.910267
Bangladesh,BGD,1972,15.174543
Bangladesh,BGD,1973,15.137976
Bangladesh,BGD,1974,15.068873
Bangladesh,BGD,1975,14.949539
Bangladesh,BGD,1976,14.7979
Bangladesh,BGD,1977,14.598521
Bangladesh,BGD,1978,14.36026
Bangladesh,BGD,1979,14.086424
Bangladesh,BGD,1980,13.789642
Bangladesh,BGD,1981,13.472392
Bangladesh,BGD,1982,13.139923
Bangladesh,BGD,1983,12.7883005
Bangladesh,BGD,1984,12.423361
Bangladesh,BGD,1985,12.0409155
Bangladesh,BGD,1986,11.662615
Bangladesh,BGD,1987,11.275377
Bangladesh,BGD,1988,10.885935
Bangladesh,BGD,1989,10.49698
Bangladesh,BGD,1990,10.105052
Bangladesh,BGD,1991,9.710617
Bangladesh,BGD,1992,9.313297
Bangladesh,BGD,1993,8.916536
Bangladesh,BGD,1994,8.521731
Bangladesh,BGD,1995,8.131104
Bangladesh,BGD,1996,7.7442627
Bangladesh,BGD,1997,7.3630853
Bangladesh,BGD,1998,6.9913406
Bangladesh,BGD,1999,6.6403074
Bangladesh,BGD,2000,6.303878
Bangladesh,BGD,2001,5.9891005
Bangladesh,BGD,2002,5.6970015
Bangladesh,BGD,2003,5.4252524
Bangladesh,BGD,2004,5.1708517
Bangladesh,BGD,2005,4.9297028
Bangladesh,BGD,2006,4.6971965
Bangladesh,BGD,2007,4.4756536
Bangladesh,BGD,2008,4.2657814
Bangladesh,BGD,2009,4.070314
Bangladesh,BGD,2010,3.888126
Bangladesh,BGD,2011,3.718272
Bangladesh,BGD,2012,3.560538
Bangladesh,BGD,2013,3.4114468
Bangladesh,BGD,2014,3.2717373
Bangladesh,BGD,2015,3.1371932
Bangladesh,BGD,2016,3.009588
Bangladesh,BGD,2017,2.8891807
Bangladesh,BGD,2018,2.7750688
Bangladesh,BGD,2019,2.6699767
Bangladesh,BGD,2020,2.5749984
Bangladesh,BGD,2021,2.4879305
Bangladesh,BGD,2022,2.4068456
Chile,CHL,1954,12.170591
Chile,CHL,1955,12.185001
Chile,CHL,1956,12.274015
Chile,CHL,1957,12.46747
Chile,CHL,1958,12.673253
Chile,CHL,1959,12.733614
Chile,CHL,1960,12.557756
Chile,CHL,1961,12.218882
Chile,CHL,1962,11.791
Chile,CHL,1963,11.234499
Chile,CHL,1964,10.465098
Chile,CHL,1965,9.520451
Chile,CHL,1966,8.582433
Chile,CHL,1967,7.7896585
Chile,CHL,1968,7.196672
Chile,CHL,1969,6.818999
Chile,CHL,1970,6.639099
Chile,CHL,1971,6.5557375
Chile,CHL,1972,6.4679847
Chile,CHL,1973,6.2849026
Chile,CHL,1974,5.91998
Chile,CHL,1975,5.3658247
Chile,CHL,1976,4.721153
Chile,CHL,1977,4.078561
Chile,CHL,1978,3.51503
Chile,CHL,1979,3.0796604
Chile,CHL,1980,2.7638402
Chile,CHL,1981,2.5060678
Chile,CHL,1982,2.2689238
Chile,CHL,1983,2.0694332
Chile,CHL,1984,1.9417269
Chile,CHL,1985,1.8887545
Chile,CHL,1986,1.8697903
Chile,CHL,1987,1.8459402
Chile,CHL,1988,1.7986215
Chile,CHL,1989,1.7201033
Chile,CHL,1990,1.6119621
Chile,CHL,1991,1.4917287
Chile,CHL,1992,1.3739002
Chile,CHL,1993,1.2678722
Chile,CHL,1994,1.179676
Chile,CHL,1995,1.111707
Chile,CHL,1996,1.064388
Chile,CHL,1997,1.035424
Chile,CHL,1998,1.0127571
