Entity,Code,Year,life_expectancy_0__sex_total__age_0
Bangladesh,BGD,1926,24.9
Bangladesh,BGD,1950,37.4114
Bangladesh,BGD,1951,38.1362
Bangladesh,BGD,1952,38.8443
Bangladesh,BGD,1953,39.4449
Bangladesh,BGD,1954,40.3718
Bangladesh,BGD,1955,41.0664
Bangladesh,BGD,1956,41.6034
Bangladesh,BGD,1957,42.5748
Bangladesh,BGD,1958,43.0829
Bangladesh,BGD,1959,43.7158
Bangladesh,BGD,1960,43.9795
Bangladesh,BGD,1961,44.8874
Bangladesh,BGD,1962,45.7651
Bangladesh,BGD,1963,45.7217
Bangladesh,BGD,1964,46.7522
Bangladesh,BGD,1965,46.0464
Bangladesh,BGD,1966,47.6443
Bangladesh,BGD,1967,48.0658
Bangladesh,BGD,1968,48.4003
Bangladesh,BGD,1969,48.6864
Bangladesh,BGD,1970,42.6672
Bangladesh,BGD,1971,26.5218
Bangladesh,BGD,1972,49.6465
Bangladesh,BGD,1973,49.9142
Bangladesh,BGD,1974,49.5885
Bangladesh,BGD,1975,50.6268
Bangladesh,BGD,1976,50.9509
Bangladesh,BGD,1977,51.2652
Bangladesh,BGD,1978,51.5964
Bangladesh,BGD,1979,51.9585
Bangladesh,BGD,1980,52.2778
Bangladesh,BGD,1981,52.6383
Bangladesh,BGD,1982,53.0119
Bangladesh,BGD,1983,53.4409
Bangladesh,BGD,1984,53.8259
Bangladesh,BGD,1985,53.9371
Bangladesh,BGD,1986,54.5915
Bangladesh,BGD,1987,54.8992
Bangladesh,BGD,1988,55.1744
Bangladesh,BGD,1989,55.5135
Bangladesh,BGD,1990,55.8219
Bangladesh,BGD,1991,53.7809
Bangladesh,BGD,1992,56.5915
Bangladesh,BGD,1993,57.0729
Bangladesh,BGD,1994,57.6403
Bangladesh,BGD,1995,58.2442
Bangladesh,BGD,1996,58.9395
Bangladesh,BGD,1997,59.6713
Bangladesh,BGD,1998,60.4291
Bangladesh,BGD,1999,61.2444
Bangladesh,BGD,2000,62.0487
Bangladesh,BGD,2001,62.8358
Bangladesh,BGD,2002,63.5914
Bangladesh,BGD,2003,64.2877
Bangladesh,BGD,2004,64.9118
Bangladesh,BGD,2005,65.5087
Bangladesh,BGD,2006,66.0479
Bangladesh,BGD,2007,66.4578
Bangladesh,BGD,2008,67.0471
Bangladesh,BGD,2009,67.5269
Bangladesh,BGD,2010,68.0091
Bangladesh,BGD,2011,68.4988
Bangladesh,BGD,2012,68.9894
Bangladesh,BGD,2013,69.4874
Bangladesh,BGD,2014,70.0162
Bangladesh,BGD,2015,70.5429
Bangladesh,BGD,2016,71.0752
Bangladesh,BGD,2017,71.6056
Bangladesh,BGD,2018,72.1217
Bangladesh,BGD,2019,72.6254
Bangladesh,BGD,2020,71.4211
Bangladesh,BGD,2021,71.1035
Bangladesh,BGD,2022,74.2647
Bangladesh,BGD,2023,74.6723
Chile,CHL,1927,37
Chile,CHL,1930,35
Chile,CHL,1932,38.7
Chile,CHL,1937,39.1
Chile,CHL,1940,38
Chile,CHL,1942,44
Chile,CHL,1947,47.9
Chile,CHL,1950,53.1513
Chile,CHL,1951,53.5373
Chile,CHL,1952,53.929
Chile,CHL,1953,54.3125
Chile,CHL,1954,54.7141
Chile,CHL,1955,54.9278
Chile,CHL,1956,55.4818
Chile,CHL,1957,55.7734
Chile,CHL,1958,56.2881
Chile,CHL,1959,56.6425
Chile,CHL,1960,57.2163
Chile,CHL,1961,57.3091
Chile,CHL,1962,57.8108
Chile,CHL,1963,58.3487
Chile,CHL,1964,58.8118
Chile,CHL,1965,59.4726
Chile,CHL,1966,60.3733
Chile,CHL,1967,61.0536
Chile,CHL,1968,61.6798
Chile,CHL,1969,62.341
Chile,CHL,1970,62.6344
Chile,CHL,1971,63.0715
Chile,CHL,1972,63.717
Chile,CHL,1973,64.42
Chile,CHL,1974,65.0853
Chile,CHL,1975,66.0374
Chile,CHL,1976,66.8193
Chile,CHL,1977,67.5294
Chile,CHL,1978,68.0421
Chile,CHL,1979,68.8581
Chile,CHL,1980,69.4748
Chile,CHL,1981,69.8222
Chile,CHL,1982,70.291
Chile,CHL,1983,70.8302
Chile,CHL,1984,71.2153
Chile,CHL,1985,71.6153
Chile,CHL,1986,72.0606
Chile,CHL,1987,72.4662
Chile,CHL,1988,72.7881
Chile,CHL,1989,73.1876
Chile,CHL,1990,73.6752
Chile,CHL,1991,74.0824
Chile,CHL,1992,74.3673
Chile,CHL,1993,74.6793
Chile,CHL,1994,74.973
Chile,CHL,1995,75.2984
Chile,CHL,1996,75.5548
Chile,CHL,1997,75.8262
Chile,CHL,1998,76.3241
Chile,CHL,1999,76.7382
Chile,CHL,2000,77.1276
Chile,CHL,2001,77.5798
Chile,CHL,2002,77.8397
Chile,CHL,2003,77.8841
Chile,CHL,2004,78.2765
Chile,CHL,2005,78.4589
Chile,CHL,2006,78.5328
Chile,CHL,2007,78.6519
Chile,CHL,2008,78.7518
Chile,CHL,2009,78.8901
Chile,CHL,2010,79.0954
Chile,CHL,2011,79.2357
Chile,CHL,2012,79.2211
Chile,CHL,2013,79.5509
Chile,CHL,2014,79.7137
Chile,CHL,2015,80.0079
Chile,CHL,2016,80.2949
Chile,CHL,2017,80.6096
Chile,CHL,2018,80.5594
Chile,CHL,2019,80.3243
Chile,CHL,2020,79.3488
Chile,CHL,2021,78.8764
Chile,CHL,2022,79.1762
Chile,CHL,2023,81.1667
Ethiopia,ETH,1950,35.5116
Ethiopia,ETH,1951,35.8635
Ethiopia,ETH,1952,36.2224
Ethiopia,ETH,1953,36.5587
Ethiopia,ETH,1954,36.957
Ethiopia,ETH,1955,37.3196
Ethiopia,ETH,1956,37.7849
Ethiopia,ETH,1957,32.1733
Ethiopia,ETH,1958,32.6282
Ethiopia,ETH,1959,39.1684
Ethiopia,ETH,1960,39.6153
Ethiopia,ETH,1961,40.1978
Ethiopia,ETH,1962,40.5305
Ethiopia,ETH,1963,40.9667
Ethiopia,ETH,1964,41.2605
Ethiopia,ETH,1965,41.413
Ethiopia,ETH,1966,39.3431
Ethiopia,ETH,1967,41.9409
