Country,Year,Fertility Rate,Average Years of Education Ages 15-64,Population
Bangladesh,1950,6.374,0.27,41206858.0
Bangladesh,1951,6.394,,42022310.0
Bangladesh,1952,6.406,,42893013.0
Bangladesh,1953,6.421,,43791389.0
Bangladesh,1954,6.472,,44741297.0
Bangladesh,1955,6.505,0.28,45767687.0
Bangladesh,1956,6.537,,46854418.0
Bangladesh,1957,6.576,,48004665.0
Bangladesh,1958,6.608,,49184052.0
Bangladesh,1959,6.678,,50441766.0
Bangladesh,1960,6.742,0.33,51828663.0
Bangladesh,1961,6.78,,53310344.0
Bangladesh,1962,6.806,,54881155.0
Bangladesh,1963,6.798,,56504405.0
Bangladesh,1964,6.785,,58178373.0
Bangladesh,1965,6.771,0.47,59902521.0
Bangladesh,1966,6.766,,61669811.0
Bangladesh,1967,6.79,,63510933.0
Bangladesh,1968,6.791,,65408278.0
Bangladesh,1969,6.806,,67294130.0
Bangladesh,1970,6.839,0.57,69058900.0
Bangladesh,1971,6.831,,70276759.0
Bangladesh,1972,6.816,,71641525.0
Bangladesh,1973,6.8,,73722297.0
Bangladesh,1974,6.778,,75839350.0
Bangladesh,1975,6.728,0.71,77854353.0
Bangladesh,1976,6.66,,79855319.0
Bangladesh,1977,6.583,,81867267.0
Bangladesh,1978,6.509,,83889659.0
Bangladesh,1979,6.421,,85935069.0
Bangladesh,1980,6.326,1.31,88016436.0
Bangladesh,1981,6.237,,90303105.0
Bangladesh,1982,6.118,,92814506.0
Bangladesh,1983,5.906,,95335162.0
Bangladesh,1984,5.732,,97814966.0
Bangladesh,1985,5.539,1.94,100253825.0
Bangladesh,1986,5.302,,102635570.0
Bangladesh,1987,5.075,,104959291.0
Bangladesh,1988,4.849,,107216011.0
Bangladesh,1989,4.695,,109433805.0
Bangladesh,1990,4.506,2.4,111633723.0
Bangladesh,1991,4.261,,113787112.0
Bangladesh,1992,4.027,,115952198.0
Bangladesh,1993,3.832,,118132363.0
Bangladesh,1994,3.737,,120343183.0
Bangladesh,1995,3.588,3.11,122600371.0
Bangladesh,1996,3.505,,124862185.0
Bangladesh,1997,3.502,,127198069.0
Bangladesh,1998,3.427,,129622333.0
Bangladesh,1999,3.357,,132108064.0
Bangladesh,2000,3.279,4.33,134544303.0
Bangladesh,2001,3.203,,136805812.0
Bangladesh,2002,3.126,,138933659.0
Bangladesh,2003,3.029,,140970356.0
Bangladesh,2004,2.94,,142902855.0
Bangladesh,2005,2.846,5.27,144715789.0
Bangladesh,2006,2.755,,146405982.0
Bangladesh,2007,2.666,,147989283.0
Bangladesh,2008,2.577,,149474264.0
Bangladesh,2009,2.484,,150873716.0
Bangladesh,2010,2.38,6.24,152201977.0
Bangladesh,2011,2.309,,153591075.0
Bangladesh,2012,2.263,,155070111.0
Bangladesh,2013,2.247,,156532135.0
Bangladesh,2014,2.228,,157964931.0
Bangladesh,2015,2.227,7.09,159383180.0
Bangladesh,2016,2.227,,160811935.0
Bangladesh,2017,2.205,,162186147.0
Bangladesh,2018,2.193,,163523108.0
Bangladesh,2019,2.18,,164913060.0
Bangladesh,2020,2.175,7.88,166298024.0
Bangladesh,2021,2.173,,167658855.0
Bangladesh,2022,2.179,,169384890.0
Bangladesh,2023,2.163,,171466986.0
Chile,1950,4.836,4.76,6628578.0
Chile,1951,4.803,,6756666.0
Chile,1952,4.78,,6891991.0
Chile,1953,4.786,,7033536.0
Chile,1954,4.77,,7180570.0
Chile,1955,4.777,4.89,7332310.0
Chile,1956,4.795,,7489536.0
Chile,1957,4.774,,7651307.0
Chile,1958,4.753,,7815994.0
Chile,1959,4.728,,7983431.0
Chile,1960,4.697,5.09,8153356.0
Chile,1961,4.655,,8324804.0
Chile,1962,4.602,,8497067.0
Chile,1963,4.536,,8670149.0
Chile,1964,4.457,,8842538.0
Chile,1965,4.364,5.56,9012943.0
Chile,1966,4.259,,9181729.0
Chile,1967,4.144,,9348941.0
Chile,1968,4.025,,9514714.0
Chile,1969,3.902,,9680281.0
Chile,1970,3.778,6.04,9845344.0
Chile,1971,3.654,,10009696.0
Chile,1972,3.53,,10174680.0
Chile,1973,3.409,,10340364.0
Chile,1974,3.293,,10505818.0
Chile,1975,3.182,6.6,10671564.0
Chile,1976,3.078,,10838249.0
Chile,1977,2.981,,11005519.0
Chile,1978,2.892,,11172693.0
Chile,1979,2.812,,11339778.0
Chile,1980,2.744,7.07,11508552.0
Chile,1981,2.689,,11678712.0
Chile,1982,2.648,,11850214.0
Chile,1983,2.619,,12026137.0
Chile,1984,2.601,,12207732.0
Chile,1985,2.592,7.82,12395274.0
Chile,1986,2.589,,12588923.0
Chile,1987,2.59,,12790156.0
Chile,1988,2.591,,12999429.0
Chile,1989,2.589,,13215015.0
Chile,1990,2.579,8.59,13437178.0
Chile,1991,2.558,,13662481.0
Chile,1992,2.478,,13884580.0
Chile,1993,2.43,,14102276.0
Chile,1994,2.377,,14316262.0
Chile,1995,2.353,8.88,14527382.0
Chile,1996,2.284,,14734050.0
Chile,1997,2.202,,14932435.0
Chile,1998,2.149,,15127801.0
Chile,1999,2.074,,15319309.0
Chile,2000,2.046,9.33,15503637.0
Chile,2001,2.007,,15683853.0
Chile,2002,1.934,,15857924.0
Chile,2003,1.885,,16024753.0
Chile,2004,1.844,,16187322.0
Chile,2005,1.825,9.94,16348781.0
Chile,2006,1.798,,16509198.0
Chile,2007,1.826,,16671572.0
Chile,2008,1.85,,16838987.0
Chile,2009,1.855,,17009728.0
Chile,2010,1.844,10.39,17181462.0
Chile,2011,1.823,,17351811.0
Chile,2012,1.798,,17519114.0
Chile,2013,1.786,,17687006.0
Chile,2014,1.774,,17864191.0
Chile,2015,1.737,10.58,18047628.0
Chile,2016,1.686,,18267225.0
Chile,2017,1.563,,18558865.0
Chile,2018,1.543,,18893186.0
Chile,2019,1.43,,19197747.0
Chile,2020,1.307,10.9,19370619.0
Chile,2021,1.176,,19456323.0
Chile,2022,1.255,,19553032.0
Chile,2023,1.167,,19658834.0
